State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9901122076215616	0.0032507049027681576	1.2107421477244537E-6	0.0016864919217775068	3.504242911526269E-5	4.157032017846399E-5	0.004186226082811811	0.0	4.75939176109835E-5	6.389520620285979E-4
2	0.046924573638451324	0.9458755904723593	0.003248849147120647	0.0035055109043610915	0.0	0.0	4.4332723484176846E-4	0.0	2.1486028658544455E-6	0.0
3	5.7315618518773846E-5	0.15321521496456328	0.6784309214198415	0.08287171651301099	0.004120659972118213	9.552071849334478E-5	0.003121516529433284	0.0	7.762273159971722E-5	0.07800951153242092
4	0.1868225956821225	0.02759675408123406	0.011990067620686537	0.6468175642196613	0.10558627970492102	0.0033821672788315305	0.015512103387891185	7.290536474157595E-5	0.0013451920386739538	8.743706212364438E-4
5	0.0030395874214036727	0.0	6.090716139544615E-4	0.10150523426012797	0.8224100742405819	0.01265886064551164	0.004176217194620543	0.05210923061036262	0.00264940493089076	8.423190825464353E-4
6	0.003899372353236862	0.0	2.7105100663195955E-5	0.0021198319345278683	0.009360497603494198	0.7769328028119736	0.19059984908130714	0.01637072947835203	2.2915798863966393E-8	6.897887206463236E-4
7	0.16861599536744318	0.0011712985202425702	1.6627783240285272E-4	0.005939692866027106	0.001505836901867424	0.08901168050630262	0.693581729482216	0.004366123531662477	0.002399536044139458	0.03324182894769665
8	0.0	0.0	0.0	2.797788096378676E-6	0.04540005968185805	0.01752641788740851	0.010724663493929198	0.7946803674826972	0.127183310881796	0.004482382784214761
9	0.0011153492454159042	0.0	5.81880595203678E-6	2.1858786669182263E-4	5.363413188529003E-4	0.0	0.001581072293546952	0.031060761667990235	0.9399260056234136	0.02555606317813663
10	0.007690786195732494	0.0	0.0013024974220114045	1.0396584366330539E-4	7.542200300380934E-5	9.318022450302407E-5	0.00949603221429259	5.599682883540828E-4	0.012358899941650093	0.9683192478667895
